Downloading http://yann.lecun.com/exdb/mnist/train-images-idx3-ubyte.gz to ./data/MNIST/raw/train-images-idx3-ubyte.gz
Extracting ./data/MNIST/raw/train-images-idx3-ubyte.gz to ./data/MNIST/raw
Downloading http://yann.lecun.com/exdb/mnist/train-labels-idx1-ubyte.gz to ./data/MNIST/raw/train-labels-idx1-ubyte.gz
Extracting ./data/MNIST/raw/train-labels-idx1-ubyte.gz to ./data/MNIST/raw
Downloading http://yann.lecun.com/exdb/mnist/t10k-images-idx3-ubyte.gz to ./data/MNIST/raw/t10k-images-idx3-ubyte.gz
Extracting ./data/MNIST/raw/t10k-images-idx3-ubyte.gz to ./data/MNIST/raw
Downloading http://yann.lecun.com/exdb/mnist/t10k-labels-idx1-ubyte.gz to ./data/MNIST/raw/t10k-labels-idx1-ubyte.gz
Extracting ./data/MNIST/raw/t10k-labels-idx1-ubyte.gz to ./data/MNIST/raw
Processing...
Done!
[PROF] NR_DATA number alice 24754
[PROF] CompBatch duration alice 0.01587057113647461
[PROF] FetchBatch duration alice 0.009206533432006836
[PROF] CompBatch duration alice 0.013112545013427734
[PROF] FetchBatch duration alice 0.009086132049560547
[PROF] CompBatch duration alice 0.012232780456542969
[PROF] FetchBatch duration alice 0.008819818496704102
[PROF] CompBatch duration alice 0.014801502227783203
[PROF] FetchBatch duration alice 0.009247064590454102
[PROF] CompBatch duration alice 0.01190042495727539
[PROF] FetchBatch duration alice 0.009021759033203125
[PROF] CompBatch duration alice 0.012412309646606445
[PROF] FetchBatch duration alice 0.009301185607910156
[PROF] CompBatch duration alice 0.012911796569824219
[PROF] FetchBatch duration alice 0.009174585342407227
[PROF] CompBatch duration alice 0.012217283248901367
[PROF] FetchBatch duration alice 0.009044408798217773
[PROF] CompBatch duration alice 0.02062511444091797
[PROF] FetchBatch duration alice 0.010907411575317383
[PROF] CompBatch duration alice 0.014242410659790039
[PROF] FetchBatch duration alice 0.009147882461547852
[PROF] CompBatch duration alice 0.012257575988769531
[PROF] FetchBatch duration alice 0.009262561798095703
[PROF] CompBatch duration alice 0.01261591911315918
[PROF] FetchBatch duration alice 0.008957862854003906
[PROF] CompBatch duration alice 0.01199197769165039
[PROF] FetchBatch duration alice 0.008353471755981445
[PROF] CompBatch duration alice 0.011610984802246094
[PROF] FetchBatch duration alice 0.008822202682495117
[PROF] CompBatch duration alice 0.012365102767944336
[PROF] FetchBatch duration alice 0.009612798690795898
[PROF] CompBatch duration alice 0.01257634162902832
[PROF] FetchBatch duration alice 0.008910179138183594
[PROF] CompBatch duration alice 0.012057304382324219
[PROF] FetchBatch duration alice 0.008572816848754883
[PROF] CompBatch duration alice 0.011707067489624023
[PROF] FetchBatch duration alice 0.008919477462768555
[PROF] CompBatch duration alice 0.011403560638427734
[PROF] FetchBatch duration alice 0.0086669921875
[PROF] CompBatch duration alice 0.012646675109863281
[PROF] FetchBatch duration alice 0.009100914001464844
[PROF] CompBatch duration alice 0.012215375900268555
[PROF] FetchBatch duration alice 0.009462833404541016
[PROF] CompBatch duration alice 0.012615442276000977
[PROF] FetchBatch duration alice 0.008930206298828125
[PROF] CompBatch duration alice 0.012050628662109375
[PROF] FetchBatch duration alice 0.008628129959106445
[PROF] CompBatch duration alice 0.012004852294921875
[PROF] FetchBatch duration alice 0.008866071701049805
[PROF] CompBatch duration alice 0.01174306869506836
[PROF] FetchBatch duration alice 0.009813785552978516
[PROF] CompBatch duration alice 0.012202262878417969
[PROF] FetchBatch duration alice 0.00897359848022461
[PROF] CompBatch duration alice 0.01471400260925293
[PROF] FetchBatch duration alice 0.00893712043762207
[PROF] CompBatch duration alice 0.011874675750732422
[PROF] FetchBatch duration alice 0.008816242218017578
[PROF] CompBatch duration alice 0.012410163879394531
[PROF] FetchBatch duration alice 0.009115219116210938
[PROF] CompBatch duration alice 0.01191091537475586
[PROF] FetchBatch duration alice 0.009011268615722656
[PROF] CompBatch duration alice 0.011630058288574219
[PROF] FetchBatch duration alice 0.00884103775024414
[PROF] CompBatch duration alice 0.012997627258300781
[PROF] FetchBatch duration alice 0.009009122848510742
[PROF] CompBatch duration alice 0.012599468231201172
[PROF] FetchBatch duration alice 0.008993864059448242
[PROF] CompBatch duration alice 0.012776613235473633
[PROF] FetchBatch duration alice 0.010521173477172852
[PROF] CompBatch duration alice 0.012516260147094727
[PROF] FetchBatch duration alice 0.00888824462890625
[PROF] CompBatch duration alice 0.0120697021484375
[PROF] FetchBatch duration alice 0.008751153945922852
[PROF] CompBatch duration alice 0.011252403259277344
[PROF] FetchBatch duration alice 0.00856637954711914
[PROF] CompBatch duration alice 0.012025833129882812
[PROF] FetchBatch duration alice 0.009090900421142578
[PROF] CompBatch duration alice 0.012034416198730469
[PROF] FetchBatch duration alice 0.008758306503295898
[PROF] CompBatch duration alice 0.012780427932739258
[PROF] FetchBatch duration alice 0.00893402099609375
[PROF] CompBatch duration alice 0.01427149772644043
[PROF] FetchBatch duration alice 0.008851051330566406
[PROF] CompBatch duration alice 0.014903068542480469
[PROF] FetchBatch duration alice 0.011492729187011719
[PROF] CompBatch duration alice 0.012390613555908203
[PROF] FetchBatch duration alice 0.008572816848754883
[PROF] CompBatch duration alice 0.012206077575683594
[PROF] FetchBatch duration alice 0.008526802062988281
[PROF] CompBatch duration alice 0.01203155517578125
[PROF] FetchBatch duration alice 0.008657455444335938
[PROF] CompBatch duration alice 0.015427827835083008
[PROF] FetchBatch duration alice 0.009124279022216797
[PROF] CompBatch duration alice 0.012811899185180664
[PROF] FetchBatch duration alice 0.010104894638061523
[PROF] CompBatch duration alice 0.01242685317993164
[PROF] FetchBatch duration alice 0.008720636367797852
[PROF] CompBatch duration alice 0.013591289520263672
[PROF] FetchBatch duration alice 0.009237527847290039
[PROF] CompBatch duration alice 0.012590169906616211
[PROF] FetchBatch duration alice 0.009336709976196289
[PROF] CompBatch duration alice 0.012877941131591797
[PROF] FetchBatch duration alice 0.00920867919921875
[PROF] CompBatch duration alice 0.012447595596313477
[PROF] FetchBatch duration alice 0.008951187133789062
[PROF] CompBatch duration alice 0.011614799499511719
[PROF] FetchBatch duration alice 0.008535146713256836
