[PROF] NR_DATA number alice 24754
[PROF] CompBatch duration alice 0.04040884971618652
[PROF] FetchBatch duration alice 0.017293691635131836
[PROF] CompBatch duration alice 0.02732229232788086
[PROF] FetchBatch duration alice 0.016737937927246094
[PROF] CompBatch duration alice 0.028649091720581055
[PROF] FetchBatch duration alice 0.017619848251342773
[PROF] CompBatch duration alice 0.025369644165039062
[PROF] FetchBatch duration alice 0.016915321350097656
[PROF] CompBatch duration alice 0.02202153205871582
[PROF] FetchBatch duration alice 0.01730513572692871
[PROF] CompBatch duration alice 0.022310256958007812
[PROF] FetchBatch duration alice 0.017525196075439453
[PROF] CompBatch duration alice 0.021802663803100586
[PROF] FetchBatch duration alice 0.01721358299255371
[PROF] CompBatch duration alice 0.02288031578063965
[PROF] FetchBatch duration alice 0.018774032592773438
[PROF] CompBatch duration alice 0.02283763885498047
[PROF] FetchBatch duration alice 0.016640663146972656
[PROF] CompBatch duration alice 0.027117013931274414
[PROF] FetchBatch duration alice 0.017834186553955078
[PROF] CompBatch duration alice 0.021320819854736328
[PROF] FetchBatch duration alice 0.017569780349731445
[PROF] CompBatch duration alice 0.021659135818481445
[PROF] FetchBatch duration alice 0.017534732818603516
[PROF] CompBatch duration alice 0.03806304931640625
[PROF] FetchBatch duration alice 0.020526885986328125
[PROF] CompBatch duration alice 0.02372431755065918
[PROF] FetchBatch duration alice 0.01706409454345703
[PROF] CompBatch duration alice 0.022421598434448242
[PROF] FetchBatch duration alice 0.017268657684326172
[PROF] CompBatch duration alice 0.02200770378112793
[PROF] FetchBatch duration alice 0.01701521873474121
[PROF] CompBatch duration alice 0.021472692489624023
[PROF] FetchBatch duration alice 0.01716923713684082
[PROF] CompBatch duration alice 0.03168916702270508
[PROF] FetchBatch duration alice 0.01727747917175293
[PROF] CompBatch duration alice 0.026256084442138672
[PROF] FetchBatch duration alice 0.016817092895507812
[PROF] CompBatch duration alice 0.02744317054748535
[PROF] FetchBatch duration alice 0.017560482025146484
[PROF] CompBatch duration alice 0.02658390998840332
[PROF] FetchBatch duration alice 0.016672611236572266
[PROF] CompBatch duration alice 0.024022817611694336
[PROF] FetchBatch duration alice 0.01814866065979004
[PROF] CompBatch duration alice 0.02710103988647461
[PROF] FetchBatch duration alice 0.018319368362426758
[PROF] CompBatch duration alice 0.0337677001953125
[PROF] FetchBatch duration alice 0.022302627563476562
[PROF] CompBatch duration alice 0.025812149047851562
[PROF] FetchBatch duration alice 0.01896381378173828
[PROF] CompBatch duration alice 0.02646636962890625
[PROF] FetchBatch duration alice 0.019055604934692383
[PROF] CompBatch duration alice 0.026650190353393555
[PROF] FetchBatch duration alice 0.018588781356811523
[PROF] CompBatch duration alice 0.032469749450683594
[PROF] FetchBatch duration alice 0.019862651824951172
[PROF] CompBatch duration alice 0.023514986038208008
[PROF] FetchBatch duration alice 0.01766824722290039
[PROF] CompBatch duration alice 0.02527594566345215
[PROF] FetchBatch duration alice 0.018253803253173828
[PROF] CompBatch duration alice 0.022049665451049805
[PROF] FetchBatch duration alice 0.018269777297973633
[PROF] CompBatch duration alice 0.02716207504272461
[PROF] FetchBatch duration alice 0.018492698669433594
[PROF] CompBatch duration alice 0.02763652801513672
[PROF] FetchBatch duration alice 0.016470670700073242
[PROF] CompBatch duration alice 0.0266571044921875
[PROF] FetchBatch duration alice 0.016843080520629883
[PROF] CompBatch duration alice 0.03738117218017578
[PROF] FetchBatch duration alice 0.019986629486083984
[PROF] CompBatch duration alice 0.02628493309020996
